location,date,new_cases,new_deaths,total_cases,total_deaths
World,2019/12/31,27,0,27,0
World,2020/1/1,0,0,27,0
World,2020/1/2,0,0,27,0
World,2020/1/3,17,0,44,0
World,2020/1/4,0,0,44,0
World,2020/1/5,15,0,59,0
World,2020/1/6,0,0,59,0
World,2020/1/7,0,0,59,0
World,2020/1/8,0,0,59,0
World,2020/1/9,0,0,59,0
World,2020/1/10,0,0,59,0
World,2020/1/11,0,1,59,1
World,2020/1/12,0,0,59,1
World,2020/1/13,1,0,60,1
World,2020/1/14,0,0,60,1
World,2020/1/15,1,1,61,2
World,2020/1/16,0,0,61,2
World,2020/1/17,5,0,66,2
World,2020/1/18,17,0,83,2
World,2020/1/19,136,1,219,3
World,2020/1/20,20,0,239,3
World,2020/1/21,153,3,392,6
World,2020/1/22,142,11,534,17
World,2020/1/23,97,0,631,17
World,2020/1/24,266,9,897,26
World,2020/1/25,453,15,1350,41
World,2020/1/26,673,15,2023,56
World,2020/1/27,797,25,2820,81
World,2020/1/28,1767,25,4587,106
World,2020/1/29,1480,26,6067,132
World,2020/1/30,1756,38,7823,170
World,2020/1/31,2003,43,9826,213
World,2020/2/1,2120,46,11946,259
World,2020/2/2,2608,46,14554,305
World,2020/2/3,2818,57,17372,362
World,2020/2/4,3243,65,20615,427
World,2020/2/5,3907,66,24522,493
World,2020/2/6,3751,72,28273,565
World,2020/2/7,3218,73,31491,638
World,2020/2/8,3442,86,34933,724
World,2020/2/9,2619,89,37552,813
World,2020/2/10,2988,97,40540,910
World,2020/2/11,2565,108,43105,1018
World,2020/2/12,2072,97,45177,1115
World,2020/2/13,15151,255,60328,1370
World,2020/2/14,4215,13,64543,1383
World,2020/2/15,2560,144,67103,1527
World,2020/2/16,2162,142,69265,1669
World,2020/2/17,2067,106,71332,1775
World,2020/2/18,1995,98,73327,1873
World,2020/2/19,1864,139,75191,2012
World,2020/2/20,532,116,75723,2128
World,2020/2/21,996,119,76719,2247
World,2020/2/22,1085,112,77804,2359
World,2020/2/23,1008,104,78812,2463
World,2020/2/24,527,156,79339,2619
World,2020/2/25,793,79,80132,2698
World,2020/2/26,863,64,80995,2762
World,2020/2/27,1106,38,82101,2800
World,2020/2/28,1264,57,83365,2857
World,2020/2/29,1838,64,85203,2921
World,2020/3/1,1821,58,87024,2979
World,2020/3/2,2044,67,89068,3046
World,2020/3/3,1797,72,90865,3118
World,2020/3/4,2212,84,93077,3202
World,2020/3/5,2239,80,95316,3282
World,2020/3/6,2856,103,98172,3385
World,2020/3/7,3961,103,102133,3488
World,2020/3/8,3691,97,105824,3585
World,2020/3/9,3871,229,109695,3814
World,2020/3/10,4537,209,114232,4023
World,2020/3/11,4378,269,118610,4292
World,2020/3/12,6887,326,125497,4618
World,2020/3/13,8355,351,133852,4969
World,2020/3/14,9375,438,143227,5407
World,2020/3/15,11547,354,154774,5761
World,2020/3/16,12644,745,167418,6506
World,2020/3/17,12678,596,180096,7102
World,2020/3/18,14740,789,194836,7891
World,2020/3/19,18314,951,213150,8842
World,2020/3/20,29214,1041,242364,9883
World,2020/3/21,28742,1366,271106,11249
World,2020/3/22,34082,1695,305188,12944
World,2020/3/23,32945,1657,338133,14601
World,2020/3/24,39785,1762,377918,16363
World,2020/3/25,38927,2200,416845,18563
World,2020/3/26,51204,2426,468049,20989
World,2020/3/27,59718,2681,527767,23670
World,2020/3/28,63923,3318,591690,26988
World,2020/3/29,65178,3461,656868,30449
World,2020/3/30,58490,3125,715358,33574
World,2020/3/31,61775,3698,777133,37272
World,2020/4/1,74208,4617,851341,41889
World,2020/4/2,77149,4995,928490,46884
World,2020/4/3,77447,4688,1005937,51572
World,2020/4/4,81714,6586,1087651,58158
World,2020/4/5,86713,6115,1174364,64273
World,2020/4/6,71232,4655,1245596,68928
World,2020/4/7,71390,5137,1316986,74065
World,2020/4/8,74902,7412,1391888,81477
World,2020/4/9,84930,6339,1476818,87816
World,2020/4/10,87039,7223,1563857,95039
World,2020/4/11,89349,7049,1653206,102088
World,2020/4/12,81707,6104,1734913,108192
World,2020/4/13,72395,5321,1807308,113513
China,2019/12/31,27,0,27,0
China,2020/1/1,0,0,27,0
China,2020/1/2,0,0,27,0
China,2020/1/3,17,0,44,0
China,2020/1/4,0,0,44,0
China,2020/1/5,15,0,59,0
China,2020/1/6,0,0,59,0
China,2020/1/7,0,0,59,0
China,2020/1/8,0,0,59,0
China,2020/1/9,0,0,59,0
China,2020/1/10,0,0,59,0
China,2020/1/11,0,1,59,1
China,2020/1/12,0,0,59,1
China,2020/1/13,0,0,59,1
China,2020/1/14,0,0,59,1
China,2020/1/15,0,1,59,2
China,2020/1/16,0,0,59,2
China,2020/1/17,4,0,63,2
China,2020/1/18,17,0,80,2
China,2020/1/19,136,1,216,3
China,2020/1/20,19,0,235,3
China,2020/1/21,151,3,386,6
China,2020/1/22,140,11,526,17
China,2020/1/23,97,0,623,17
China,2020/1/24,259,9,882,26
China,2020/1/25,441,15,1323,41
China,2020/1/26,665,15,1988,56
China,2020/1/27,787,25,2775,81
China,2020/1/28,1753,25,4528,106
China,2020/1/29,1466,26,5994,132
China,2020/1/30,1740,38,7734,170
China,2020/1/31,1980,43,9714,213
China,2020/2/1,2095,46,11809,259
China,2020/2/2,2590,45,14399,304
China,2020/2/3,2812,57,17211,361
China,2020/2/4,3237,65,20448,426
China,2020/2/5,3872,66,24320,492
China,2020/2/6,3727,72,28047,564
China,2020/2/7,3160,73,31207,637
China,2020/2/8,3418,86,34625,723
China,2020/2/9,2607,89,37232,812
China,2020/2/10,2974,97,40206,909
China,2020/2/11,2490,108,42696,1017
China,2020/2/12,2028,97,44724,1114
China,2020/2/13,15141,254,59865,1368
China,2020/2/14,4156,13,64021,1381
China,2020/2/15,2538,143,66559,1524
China,2020/2/16,2007,142,68566,1666
China,2020/2/17,2052,105,70618,1771
China,2020/2/18,1890,98,72508,1869
China,2020/2/19,1750,139,74258,2008
China,2020/2/20,394,112,74652,2120
China,2020/2/21,891,118,75543,2238
China,2020/2/22,826,109,76369,2347
China,2020/2/23,647,98,77016,2445
China,2020/2/24,218,150,77234,2595
China,2020/2/25,515,70,77749,2665
China,2020/2/26,410,52,78159,2717
China,2020/2/27,439,29,78598,2746
China,2020/2/28,329,44,78927,2790
China,2020/2/29,428,47,79355,2837
China,2020/3/1,574,35,79929,2872
China,2020/3/2,205,42,80134,2914
China,2020/3/3,127,32,80261,2946
China,2020/3/4,119,37,80380,2983
China,2020/3/5,117,31,80497,3014
China,2020/3/6,170,30,80667,3044
China,2020/3/7,101,28,80768,3072
China,2020/3/8,46,27,80814,3099
China,2020/3/9,45,23,80859,3122
China,2020/3/10,20,17,80879,3139
China,2020/3/11,29,22,80908,3161
China,2020/3/12,24,11,80932,3172
China,2020/3/13,22,7,80954,3179
China,2020/3/14,19,15,80973,3194
China,2020/3/15,22,9,80995,3203
China,2020/3/16,25,13,81020,3216
China,2020/3/17,43,9,81063,3225
China,2020/3/18,23,16,81086,3241
China,2020/3/19,44,8,81130,3249
China,2020/3/20,99,4,81229,3253
China,2020/3/21,52,6,81281,3259
China,2020/3/22,65,6,81346,3265
China,2020/3/23,138,9,81484,3274
China,2020/3/24,69,7,81553,3281
China,2020/3/25,78,4,81631,3285
China,2020/3/26,102,6,81733,3291
China,2020/3/27,94,5,81827,3296
China,2020/3/28,119,3,81946,3299
China,2020/3/29,113,5,82059,3304
China,2020/3/30,98,2,82157,3306
China,2020/3/31,84,3,82241,3309
China,2020/4/1,54,1,82295,3310
China,2020/4/2,100,6,82395,3316
China,2020/4/3,70,10,82465,3326
China,2020/4/4,62,4,82527,3330
China,2020/4/5,48,3,82575,3333
China,2020/4/6,67,2,82642,3335
China,2020/4/7,56,0,82698,3335
China,2020/4/8,86,2,82784,3337
China,2020/4/9,86,2,82870,3339
China,2020/4/10,55,1,82925,3340
China,2020/4/11,79,3,83004,3343
China,2020/4/12,93,0,83097,3343
China,2020/4/13,112,2,83209,3345
US,2019/12/31,0,0,0,0
US,2020/1/1,0,0,0,0
US,2020/1/2,0,0,0,0
US,2020/1/3,0,0,0,0
US,2020/1/4,0,0,0,0
US,2020/1/5,0,0,0,0
US,2020/1/6,0,0,0,0
US,2020/1/7,0,0,0,0
US,2020/1/8,0,0,0,0
US,2020/1/9,0,0,0,0
US,2020/1/10,0,0,0,0
US,2020/1/11,0,0,0,0
US,2020/1/12,0,0,0,0
US,2020/1/13,0,0,0,0
US,2020/1/14,0,0,0,0
US,2020/1/15,0,0,0,0
US,2020/1/16,0,0,0,0
US,2020/1/17,0,0,0,0
US,2020/1/18,0,0,0,0
US,2020/1/19,0,0,0,0
US,2020/1/20,0,0,0,0
US,2020/1/21,1,0,1,0
US,2020/1/22,0,0,1,0
US,2020/1/23,0,0,1,0
US,2020/1/24,0,0,1,0
US,2020/1/25,1,0,2,0
US,2020/1/26,0,0,2,0
US,2020/1/27,3,0,5,0
US,2020/1/28,0,0,5,0
US,2020/1/29,0,0,5,0
US,2020/1/30,0,0,5,0
US,2020/1/31,1,0,6,0
US,2020/2/1,1,0,7,0
US,2020/2/2,1,0,8,0
US,2020/2/3,3,0,11,0
US,2020/2/4,0,0,11,0
US,2020/2/5,0,0,11,0
US,2020/2/6,1,0,12,0
US,2020/2/7,0,0,12,0
US,2020/2/8,0,0,12,0
US,2020/2/9,0,0,12,0
US,2020/2/10,0,0,12,0
US,2020/2/11,1,0,13,0
US,2020/2/12,0,0,13,0
US,2020/2/13,1,0,14,0
US,2020/2/14,1,0,15,0
US,2020/2/15,0,0,15,0
US,2020/2/16,0,0,15,0
US,2020/2/17,0,0,15,0
US,2020/2/18,0,0,15,0
US,2020/2/19,0,0,15,0
US,2020/2/20,0,0,15,0
US,2020/2/21,1,0,16,0
US,2020/2/22,19,0,35,0
US,2020/2/23,0,0,35,0
US,2020/2/24,0,0,35,0
US,2020/2/25,18,0,53,0
US,2020/2/26,0,0,53,0
US,2020/2/27,6,0,59,0
US,2020/2/28,1,0,60,0
US,2020/2/29,6,0,66,0
US,2020/3/1,3,1,69,1
US,2020/3/2,20,1,89,2
US,2020/3/3,14,4,103,6
US,2020/3/4,22,3,125,9
US,2020/3/5,34,2,159,11
US,2020/3/6,74,1,233,12
US,2020/3/7,105,2,338,14
US,2020/3/8,95,3,433,17
US,2020/3/9,121,4,554,21
US,2020/3/10,200,5,754,26
US,2020/3/11,271,2,1025,28
US,2020/3/12,287,2,1312,30
US,2020/3/13,351,10,1663,40
US,2020/3/14,511,7,2174,47
US,2020/3/15,777,10,2951,57
US,2020/3/16,823,12,3774,69
US,2020/3/17,887,16,4661,85
US,2020/3/18,1766,23,6427,108
US,2020/3/19,2988,42,9415,150
US,2020/3/20,4835,0,14250,150
US,2020/3/21,5374,110,19624,260
US,2020/3/22,7123,80,26747,340
US,2020/3/23,8459,131,35206,471
US,2020/3/24,11236,119,46442,590
US,2020/3/25,8789,211,55231,801
US,2020/3/26,13963,249,69194,1050
US,2020/3/27,16797,246,85991,1296
US,2020/3/28,18695,411,104686,1707
US,2020/3/29,19979,484,124665,2191
US,2020/3/30,18360,318,143025,2509
US,2020/3/31,21595,661,164620,3170
US,2020/4/1,24998,909,189618,4079
US,2020/4/2,27103,1059,216721,5138
US,2020/4/3,28819,915,245540,6053
US,2020/4/4,32425,1104,277965,7157
US,2020/4/5,34272,1344,312237,8501
US,2020/4/6,25398,1146,337635,9647
US,2020/4/7,30561,1342,368196,10989
US,2020/4/8,30613,1906,398809,12895
US,2020/4/9,33323,1922,432132,14817
US,2020/4/10,33901,1873,466033,16690
US,2020/4/11,35527,2087,501560,18777
US,2020/4/12,28391,1831,529951,20608
US,2020/4/13,27620,1500,557571,22108
Spain,2019/12/31,0,0,0,0
Spain,2020/1/1,0,0,0,0
Spain,2020/1/2,0,0,0,0
Spain,2020/1/3,0,0,0,0
Spain,2020/1/4,0,0,0,0
Spain,2020/1/5,0,0,0,0
Spain,2020/1/6,0,0,0,0
Spain,2020/1/7,0,0,0,0
Spain,2020/1/8,0,0,0,0
Spain,2020/1/9,0,0,0,0
Spain,2020/1/10,0,0,0,0
Spain,2020/1/11,0,0,0,0
Spain,2020/1/12,0,0,0,0
Spain,2020/1/13,0,0,0,0
Spain,2020/1/14,0,0,0,0
Spain,2020/1/15,0,0,0,0
Spain,2020/1/16,0,0,0,0
Spain,2020/1/17,0,0,0,0
Spain,2020/1/18,0,0,0,0
Spain,2020/1/19,0,0,0,0
Spain,2020/1/20,0,0,0,0
Spain,2020/1/21,0,0,0,0
Spain,2020/1/22,0,0,0,0
Spain,2020/1/23,0,0,0,0
Spain,2020/1/24,0,0,0,0
Spain,2020/1/25,0,0,0,0
Spain,2020/1/26,0,0,0,0
Spain,2020/1/27,0,0,0,0
Spain,2020/1/28,0,0,0,0
Spain,2020/1/29,0,0,0,0
Spain,2020/1/30,0,0,0,0
Spain,2020/1/31,0,0,0,0
Spain,2020/2/1,1,0,1,0
Spain,2020/2/2,0,0,1,0
Spain,2020/2/3,0,0,1,0
Spain,2020/2/4,0,0,1,0
Spain,2020/2/5,0,0,1,0
Spain,2020/2/6,0,0,1,0
Spain,2020/2/7,0,0,1,0
Spain,2020/2/8,0,0,1,0
Spain,2020/2/9,0,0,1,0
Spain,2020/2/10,1,0,2,0
Spain,2020/2/11,0,0,2,0
Spain,2020/2/12,0,0,2,0
Spain,2020/2/13,0,0,2,0
Spain,2020/2/14,0,0,2,0
Spain,2020/2/15,0,0,2,0
Spain,2020/2/16,0,0,2,0
Spain,2020/2/17,0,0,2,0
Spain,2020/2/18,0,0,2,0
Spain,2020/2/19,0,0,2,0
Spain,2020/2/20,0,0,2,0
Spain,2020/2/21,0,0,2,0
Spain,2020/2/22,0,0,2,0
Spain,2020/2/23,0,0,2,0
Spain,2020/2/24,0,0,2,0
Spain,2020/2/25,1,0,3,0
Spain,2020/2/26,4,0,7,0
Spain,2020/2/27,5,0,12,0
Spain,2020/2/28,13,0,25,0
Spain,2020/2/29,9,0,34,0
Spain,2020/3/1,32,0,66,0
Spain,2020/3/2,17,0,83,0
Spain,2020/3/3,31,0,114,0
Spain,2020/3/4,37,0,151,0
Spain,2020/3/5,49,1,200,1
Spain,2020/3/6,61,2,261,3
Spain,2020/3/7,113,2,374,5
Spain,2020/3/8,56,0,430,5
Spain,2020/3/9,159,0,589,5
Spain,2020/3/10,615,23,1204,28
Spain,2020/3/11,435,7,1639,35
Spain,2020/3/12,501,12,2140,47
Spain,2020/3/13,864,37,3004,84
Spain,2020/3/14,1227,37,4231,121
Spain,2020/3/15,1522,15,5753,136
Spain,2020/3/16,2000,152,7753,288
Spain,2020/3/17,1438,21,9191,309
Spain,2020/3/18,1987,182,11178,491
Spain,2020/3/19,2538,107,13716,598
Spain,2020/3/20,3431,169,17147,767
Spain,2020/3/21,2833,235,19980,1002
Spain,2020/3/22,4946,324,24926,1326
Spain,2020/3/23,3646,394,28572,1720
Spain,2020/3/24,4517,462,33089,2182
Spain,2020/3/25,6584,514,39673,2696
Spain,2020/3/26,7937,738,47610,3434
Spain,2020/3/27,8578,655,56188,4089
Spain,2020/3/28,7871,769,64059,4858
Spain,2020/3/29,8189,832,72248,5690
Spain,2020/3/30,6549,838,78797,6528
Spain,2020/3/31,6398,812,85195,7340
Spain,2020/4/1,9222,849,94417,8189
Spain,2020/4/2,7719,864,102136,9053
Spain,2020/4/3,8102,950,110238,10003
Spain,2020/4/4,7472,932,117710,10935
Spain,2020/4/5,7026,809,124736,11744
Spain,2020/4/6,6023,674,130759,12418
Spain,2020/4/7,4273,637,135032,13055
Spain,2020/4/8,5478,743,140510,13798
Spain,2020/4/9,6180,757,146690,14555
Spain,2020/4/10,5756,683,152446,15238
Spain,2020/4/11,4576,605,157022,15843
Spain,2020/4/12,4830,510,161852,16353
Spain,2020/4/13,4167,619,166019,16972
Italy,2019/12/31,0,0,0,0
Italy,2020/1/1,0,0,0,0
Italy,2020/1/2,0,0,0,0
Italy,2020/1/3,0,0,0,0
Italy,2020/1/4,0,0,0,0
Italy,2020/1/5,0,0,0,0
Italy,2020/1/6,0,0,0,0
Italy,2020/1/7,0,0,0,0
Italy,2020/1/8,0,0,0,0
Italy,2020/1/9,0,0,0,0
Italy,2020/1/10,0,0,0,0
Italy,2020/1/11,0,0,0,0
Italy,2020/1/12,0,0,0,0
Italy,2020/1/13,0,0,0,0
Italy,2020/1/14,0,0,0,0
Italy,2020/1/15,0,0,0,0
Italy,2020/1/16,0,0,0,0
Italy,2020/1/17,0,0,0,0
Italy,2020/1/18,0,0,0,0
Italy,2020/1/19,0,0,0,0
Italy,2020/1/20,0,0,0,0
Italy,2020/1/21,0,0,0,0
Italy,2020/1/22,0,0,0,0
Italy,2020/1/23,0,0,0,0
Italy,2020/1/24,0,0,0,0
Italy,2020/1/25,0,0,0,0
Italy,2020/1/26,0,0,0,0
Italy,2020/1/27,0,0,0,0
Italy,2020/1/28,0,0,0,0
Italy,2020/1/29,0,0,0,0
Italy,2020/1/30,0,0,0,0
Italy,2020/1/31,3,0,3,0
Italy,2020/2/1,0,0,3,0
Italy,2020/2/2,0,0,3,0
Italy,2020/2/3,0,0,3,0
Italy,2020/2/4,0,0,3,0
Italy,2020/2/5,0,0,3,0
Italy,2020/2/6,0,0,3,0
Italy,2020/2/7,0,0,3,0
Italy,2020/2/8,0,0,3,0
Italy,2020/2/9,0,0,3,0
Italy,2020/2/10,0,0,3,0
Italy,2020/2/11,0,0,3,0
Italy,2020/2/12,0,0,3,0
Italy,2020/2/13,0,0,3,0
Italy,2020/2/14,0,0,3,0
Italy,2020/2/15,0,0,3,0
Italy,2020/2/16,0,0,3,0
Italy,2020/2/17,0,0,3,0
Italy,2020/2/18,0,0,3,0
Italy,2020/2/19,0,0,3,0
Italy,2020/2/20,0,0,3,0
Italy,2020/2/21,0,0,3,0
Italy,2020/2/22,14,0,17,0
Italy,2020/2/23,62,2,79,2
Italy,2020/2/24,53,0,132,2
Italy,2020/2/25,97,4,229,6
Italy,2020/2/26,93,5,322,11
Italy,2020/2/27,78,1,400,12
Italy,2020/2/28,250,5,650,17
Italy,2020/2/29,238,4,888,21
Italy,2020/3/1,240,8,1128,29
